Simon Wincer	18254	7	
Peter Wintonick	125677	11	
Robert Wise	1744	58	
Frederick Wiseman	138006	58	
Wong Kar Wai	12453	85	
Edgar Wright	11090	35	
Joe Wright	36588	37	
Wu Tian Ming	552613	25	
William Wyler	10001	56	
Takashi Yamazaki	43652	15	
Edward Yang	143035	43	
Peter Yates	12804	15	
Wilson Yip	63571	15	
Yoshishige Yoshida	110519	4	
Woo-ping Yuen	18899	27	
S. Craig Zahler	1018106	10	
Krzysztof Zanussi	591273	79	
David Zellner	558860	20	
Claude Zidi	11201	2	
Rob Zombie	16848	12	
Andrzej Zulawski	32082	18	
Valerio Zurlini 	229418	15	
Terry Zwigoff	17447	36	
Pierre Etaix	548816	13	
George Butler	42081	10	
Serge Bromberg	126750	5	
Rupert Wyatt	77357	9	
Lucy Walker	34949	74	
James Marsh	76998	48	
Joachim Lafosse	71485	27	
Yukihiko Tsutsumi	81355	3	
Cristi Puiu	107533	51	
Gee-woong Nam	1141414	3	
Ki-duk Kim	1188	102	
Didier Cros	1034680	2	
Ruben �stlund	56370	79	
Garth Jennings	52842	7	
Darren Lynn Bousman	2675	7	
Steven Knight	23227	35	
Seth Gordon	71600	3	
Andrey Zvyagintsev	68519	89	
J.C. Chandor	556172	28	
Kentaro Miura	1067818	0	
Quentin Dupieux	133398	15	
David Oelhoffen	585161	28	
Drew Goddard	47506	57	
Takeshi Koike	56340	2	
Chow Hin Yeung Roy	125101	0	
Joachim Trier	71609	46	
Prachya Pinkaew	57214	4	
Julien Rappeneau	52344	3	
Jemaine Clement	55936	36	
Francis Lawrence	10943	15	
Gabriela Cowperthwaite	1045176	15	
Radu Muntean	129564	30	
David Robert Mitchell	558929	28	
Tony Jaa	57207	4	
Asghar Farhadi	229931	126	
Andrew Leman	229182	0	
Jaume Collet-Serra	59521	4	
S.S. Rajamouli	147021	13	
Nacho Vigalondo	118303	35	
James Wan	2127	24	
Duncan Jones	81850	26	
Lisanne Pajot	1044256	7	
Katell Quill�v�r�	563356	15	
Masahiro And� 	107045	0	
Alex Rivera	91252	11	
Thomas Lilti	231431	5	
Jan Komasa	566109	27	
Corneliu Porumboiu	109293	48	
Andy Bichlbaum	31656	3	
Marianne Tardieu	1320861	1	
Martin McDonagh	54472	46	
Joe Piscatella	50584	7	
C�line Sciamma	68813	29	
Chris Bouchard	123551	1	
Les Norris	1261934	0	
Seong-hun Kim	1135240	14	
L�szl� Nemes	1454941	60	
Pierre Coffin	124747	20	
L�a Fehner	230421	9	
Jack Arnold	24214	1	
Pablo Larra�n	225009	85	
Shin-yeon Won	87894	4	
Jake Szymanski	1061773	1	
Anthony Chen	1170106	35	
Hiromu Arakawa	1254256	1	
Tim Miller	55252	0	
Gareth Evans	142013	17	
Jeff Nichols	71872	49	
Deniz Gamze Erg�ven	1128442	60	
Yannick Dahan	119194	3	
