"99,670,151,072,135,600"	934803	"28,12,878"	166424	4.4
"73,991,783,217,834"	17825	"28,12,35,10751,14"	1593	6.3
"1,095,131,783,218,910"	132876	"28,18,53"	254128	6
"1,620,517,378"	1724	"12,28,53"	714	6
"2,081,024,611,810"	6046	"18,36,10752,28"	2024	6.8
"14,611,922,287"	1884	"53,80"	163	6.4
"493,728,711,701"	11694	"28,35,18,53"	787	6.5
"20,458,702,094,185"	57270	"12,878,53"	262500	6.2
"61,933,967,112"	1032	18	2567	7
"2,956,508,170,851"	65630	35	38745	4.9
"192,742,731,917,380"	201	"28,80,35"	40805	5.5
"386,641,091,217,286"	78914	"2,810,752"	53182	6.1
"41,686,558,734,195"	1215	"16,10751,12,35,14"	41513	5.5
"7,906,463,935,309"	70287	"1,610,751"	13700	5.7
"9,418,558,702,037,150"	57270	"12,878"	262504	5.9
"190,346,968,234,479"	17825	"28,878,18"	39254	6.6
"2,039,558,741,686"	1215	"14,10751,35,16"	77931	5.5
"12,261,529,318,277"	2209	"28,12,53"	1639	4.1
"130640,77996,3"	13079	"878,28,12"	80274	6.6
"621,808,215,033"	3950	"28,53"	1571	6.4
"1,121,327,109"	108	"12,14,28"	120	8
"45,811,889,717,522"	57370	"28,12,35"	10204	5.7
"134,101,272,888"	638	18	8489	6.7
"5,013,565,412,073"	5133	"35,14,10751"	10588	4.9
"28,881,835,421,088"	21085	"28,878"	2048	6.7
"1,141,694,010,912"	578	"18,28,12,36,10752"	1495	6.6
"1,693,552,141,419"	18898	"16,14,10751,35"	10137	5.8
"662,521,556,365,827"	15810	"10749,10751,16,10402"	10198	6.7
"18,928,300,241,091"	578	"18,12,878"	286217	7.6
"93,830,611,245"	865	"28,53,878,12"	1635	6.5
"6,449,309,218,892"	36804	"3,510,749"	24113	3.7
"2,963,177,111,701"	58498	"28,80,53"	9679	6.1
"73,421,934,935"	578	"28,18,12"	98	7.9
"500,220,672,466"	488	"28,53,878,9648"	180	7.1
"109,801,099,010,989"	10965	"12,14,10751"	672	7.4
"8,784,101,910,912"	10702	"12,28,53"	36557	7.3
"1,283,132,403,129"	510	"53,878,28,12"	869	5.6
"11,004,182,713"	2710	"28,53,878"	280	7.7
"3894,85,1771"	638	"36,80,18"	11322	6.5
"93,452,925,294"	578	"18,80"	4982	7.4
"8,944,110,074,036"	2710	"28,53"	36955	6.8
"4,048,152,928,891"	893	"53,18,80"	18487	6.2
"8,877,399,380"	3289	"3,510,749"	39451	5.4
"23,659,132,408,170"	55710	"28,35,80"	27581	6.1
"2,701,111,003,085"	26713	"28,18,9648,53"	9268	5.6
"134,273,196,193"	138	"18,37"	68718	7.8
"3,999,341,665,598"	62047	"18,16,10751"	10545	6.8
"70,243,609,501,230"	61411	"12,16,35,10751,14"	11688	7.2
"1,664,416,483,976"	12786	"28,12,53"	76163	6.1
"9,824,296,321,180"	12962	"12,28,53,9648"	2059	6.4
"70,552,543,816,940"	25453	"14,28,12,10751"	2486	4.9
"22,295,447,080,576"	5953	"10751,14"	16523	6.4
"279,727,107,072,466"	5713	"16,12,10751,14"	116711	6.4
"85,616,211,701"	8193	"28,53,10749"	37710	6
"716,651,681,100"	37710	"28,14,27,9648"	9946	5.5
"61,616,193,938"	9181	"18,53,28"	1372	7.3
"21,765,576,206"	5572	"28,80,14"	414	5.2
"2,776,392,052,133"	10491	"12,28,53,878"	563	6.7
"4587,388,31"	1071	"18,878"	83542	6.6
"372,603,344,915,577"	15217	"16,12,10751,14"	41216	6.5
