Bertrand Bonello	2003,2001,2014,2014,2011,2008
Chetan Anand	1946
Eric Rochant	1994
Hervé Bromberger	1951
Neeraj Ghaywan	2015,2015,2015,2015
Wim Wenders	1977,1976,1976,1982,1984,1984,1984,1987,1987,2014,2014,2014,2014,2008,2005,2002,1997,1993,1993
Montxo Armendáriz	1995
Roberto Santiago	1999
Glendyn Ivin	2003
Béla Tarr	2005,2007,2000
Lodge Kerrigan	1998,2010,2005,1994
Marco Berger	2008
Aleksander Ford	1954,1954,1965,1954
Ashim Ahluwalia	2012
Bruno Podalydès	2012
Jurgis Karsons	2010
Laetitia Masson	1998
Pier Paolo Pasolini	1974,1974,1966,1958
Theo Angelopoulos	1995,1998,1995,1995,1991,1984,1975,1984,1984,1977,1998
Dan Hodgson	2015
Juanjo Giménez Peña	2016
Luc Jacquet	2015
Lucian Pintilie	1996,1994
Takeshi Kitano	1999,2010
Yaelle Kayam	2009
Olivier Jahan	1994,2000,2000
Alejandro González Iñárritu	2000,2010,2006,2006,2006,2000,2000
Arturo Ripstein	1974,1998,1994,1999
Julie Bertuccelli	2003,2003,2003
Lordan Zafranović	1979
Rungano Nyoni	2017
Kjell Grede	1970
Andrew Hulme	2014,2014
Edouard Niermans	1976,1992
Harry Kümel	1972
Alison Maclean	1992,1989
Asaf Korman	2014
Darezhan Omirbayev	2012,2001,1998
Hanna Schygulla	1983
Leyla Bouzid	2016
Bingjian Liu	2002
Ilya Kopalin	1961
Liliana Cavani	1989,1974,1981
Delphine Gleize	1999,2002,2002
Gust Van Den Berghe	2011,2010,2010
John Polson	1999
Александр Хван	1993
Andrei Cretulescu	2015,2015,2015
Delbert Mann	1955,1957,1958,1959,1955
Ermanno Olmi	1978,1963,1963,2001,1978
René Múgica	1965,1961
Valérie Donzelli	2015,2011,2015
Florence Miailhe	2006,2006
Jonas Geirnaert	2004,2004
Kurt Jung-Alsen	1957
Nadia Conners	2007
Siddiq Barmak	2003,2003,2003,2003
Sándor Reisenbüchler	1973,1973
Tommy Lee Jones	2005,2014,2005
Lionel Baier	2015
Marco Ferreri	1973,1969,1964,1978,1978,1983,1963,1986,1991,1973
Norman Hull	1988
Peter Foldes	1977,1974,1974
Djibril Diop Mambéty	1992
Lee Robinson	1956
Semih Kaplanoğlu	2007
Katell Quillévéré	2010,2010
Conrad Vernon	2004
Grigori Kozintsev	1957
Irvin Kershner	1961,1961
Julia Loktev	2006,2006
Pedro Pio Martin Perez	2010
Benjamin Heisenberg	2005,2005
Benito Perojo	1947
Daniel Vega Vidal	2010,2010,2010
Hugh Hudson	1981,1989,2000,1981
Mike Figgis	1994
Paolo Taviani	1977,1993,1982,1982,1977,1982
Yolande Moreau	2013
Zahari Zhandov	1957
Esther Rots	2002,2003
Marialy Rivas	2010
Géza M. Tóth	2008
Manuel Antin	1970,1963
Dimitar Mitovski	2007
Pablo Larraín	2008,2012
Renato Castellani	1952,1952
Yi'nan Diao	2007
Aki Kaurismäki	2016,1996,1996,2002,2002,2002,2002,2006,2011,2011,2011
Anders Morgenthaler	2006
Ronit Elkabetz	2010
Andrés Wood	2004
Carole Laure	2004,2002
Pablo Reyero	2003
Alex Proyas	1994
Boris Lojkine	2014,2014,2014
Im Sang-soo	2010,2012
Flora Lau	2013,2013
Yves Boisset	1977
Trey Edward Shults	2015,2015
Kornél Mundruczó	2004,2008,2017,2008,2005,2014,2010
Cavi Borges	2010
Daniela Thomas	2008
Claude Duty	2002
Jean-Claude Lauzon	1992
Maya Dreifuss	2005
Richard Heslop	1992
André Leduc	1981,1981,1990
Giuseppe De Santis	1949
Mohamed Diab	2016
Pedro Aguilera	2007,2007
Simone Bitton	2004
Walter Hugo Khouri	1965,1970
Gérard Depardieu	1990
Jan Bonny	2007,2007,2007
Károly Makk	1971,1987,1982,1982,1978,1974,1971,1971,1955
Anthony Asquith	1951,1958
Rufus Norris	2012
Douglas Sirk	1939
