Jay Sandrich	1973
Jay Sandrich	1972
Jay Sandrich	1971
Jay Sandrich	1984
Neill Fearnley	2015
Neill Fearnley	2014
Neill Fearnley	2013
Neill Fearnley	2012
Edward Lachman	2011
Thomas Carter	1998
Thomas Carter	1991
Thomas Carter	1990
Thomas Carter	1989
Thomas Carter	1985
Thomas Carter	1984
Nick Quested	2014
Nick Quested	2011
Nick Quested	2011
Steve Buscemi	2016
Steve Buscemi	2014
Steve Buscemi	2012
Steve Buscemi	2011
Steve Buscemi	2008
Steve Buscemi	2004
Steve Buscemi	2001
Steve Buscemi	2015
José Padilha	2005
Peter Lord	2008
Nick Cassavetes	2004
Ryan Murphy	2017
Ryan Murphy	2016
Ryan Murphy	2016
Ryan Murphy	2015
Ryan Murphy	2014
Ryan Murphy	2014
Ryan Murphy	2013
Ryan Murphy	2012
Ryan Murphy	2011
Ryan Murphy	2010
Ryan Murphy	2010
Ryan Murphy	2004
Gregg Kavet	1998
Gregg Kavet	1997
David Schwimmer	2016
David Schwimmer	1995
Tommy Lee Jones	1989
Tommy Lee Jones	1983
Peter Mullan	2013
Jesse Dylan	2008
Olivier Assayas	2011
Patricia Rozema	2009
Patricia Rozema	1998
Patricia Rozema	1998
Jerrold Freedman	1971
Robert Klane	1997
Robert Klane	1997
Marshall Herskovitz	2002
Marshall Herskovitz	1991
Marshall Herskovitz	1990
Marshall Herskovitz	1989
Marshall Herskovitz	1988
Marshall Herskovitz	1983
Jon Cassar	2011
Jon Cassar	2006
Jon Cassar	2005
Jon Cassar	2004
Jon Cassar	2003
Jackie Chan	2002
Adam McKay	2016
Adam McKay	2015
Adam McKay	2009
Adam McKay	2001
Chris Carter	1998
Chris Carter	1997
Chris Carter	1996
Chris Carter	1995
Charles S. Dutton	2003
Charles S. Dutton	2002
Charles S. Dutton	2000
Charles S. Dutton	1999
Charles S. Dutton	1995
Gaëtan Brizzi	1992
Glenn Ficarra	2017
Sam Weisman	1992
Sam Weisman	1988
Steve Barker	1989
Michael Lembeck	2000
Michael Lembeck	1999
Michael Lembeck	1996
Greg Spence	2016
Greg Spence	2015
Greg Spence	2014
Greg Spence	2013
Bob Dolman	1983
Bob Dolman	1983
Bob Dolman	1982
Bob Dolman	1982
Patricia Birch	1992
Patricia Birch	1988
Patricia Birch	1988
Deran Sarafian	2009
Deran Sarafian	2008
Ernest R. Dickerson	2003
Les Mayfield	1992
Les Mayfield	1991
Jack Arnold	1967
Eddie Murphy	1999
Eddie Murphy	1984
Eddie Murphy	1983
Jodie Foster	2014
Jodie Foster	1999
Jodie Foster	2001
Christian Duguay	2009
Christian Duguay	2003
Christian Duguay	1999
Gregor Jordan	2012
Lesli Linka Glatter	2017
Lesli Linka Glatter	2016
Lesli Linka Glatter	2015
Lesli Linka Glatter	2013
Lesli Linka Glatter	2010
John Stockwell	2000
Ian MacNaughton	1976
Steve Oedekerk	2011
Steve Oedekerk	2009
Steve Oedekerk	2008
James Wong	2015
James Wong	2014
James Wong	2013
James Wong	1997
James Wong	1995
Mark Mylod	2009
Jeff Schaffer	2012
Jeff Schaffer	2010
Jeff Schaffer	2008
Jeff Schaffer	1998
Jeff Schaffer	1997
Morgan Spurlock	2010
Neil Marshall	2014
Glenn Gordon Caron	1987
Glenn Gordon Caron	1986
Pat Proft	1977
David Nutter	2015
David Nutter	2010
David Nutter	2006
David Nutter	2002
David Nutter	1995
